Registro origen,ID,CLEE,Establecimiento,Razón social,Código SCIAN,Actividad SCIAN,Categoría del proyecto,Subcategoría,Sector,Alcance,Regla de inclusión,Palabras clave detectadas,Es hospital,Es sanatorio (por nombre),Es clínica o consultorio,Es salud mental o psicológica,Es farmacia,Es residencia o cuidado,Revisión manual,Motivo de revisión,Personal ocupado,Tipo de unidad económica,Alcaldía,Localidad,Asentamiento,Código postal,Código postal válido,Tipo de vialidad,Vialidad,Número exterior,Clave geográfica AGEB,AGEB,Manzana,Latitud,Longitud,Coordenadas válidas,Fecha de alta DENUE,Año de alta DENUE,Versión SCIAN declarada,Año de datos,Mes de corte,Edición DENUE,Archivo fuente
343828,6317831,,RESIDENCIA VILLAZUL,OPERADORA DE RESIDENCIAS SA DE CV,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,Código postal faltante o inválido,101 a 250 personas,Fijo,Benito JuÃ¡rez,Benito JuÃ¡rez,DEL VALLE NORTE,3100,0,CALLE,LA MORENA,415,090140001005A,005A,003,19.39880793,-99.16238128,1,2010-07,2010,2018,2018,11,2018-11,denue_09_1118_shp.zip
337610,6313444,,FUNDACION DE OBRAS SOCIALES DE SAN VICENTE IAP,FUNDACION DE OBRAS SOCIALES DE SAN VICENTE IAP,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,Código postal faltante o inválido,31 a 50 personas,Fijo,CoyoacÃ¡n,CoyoacÃ¡n,VILLA COYOACÃ�N,4000,0,CERRADA,PEDREGAL,31,0900300010111,0111,001,19.34756394,-99.17567597,1,2010-07,2010,2018,2018,11,2018-11,denue_09_1118_shp.zip
337648,6318235,,FUNDACIÃ“N PARA ANCIANOS CONCEPCION BEISTEGUI IAP,FUNDACIÃ“N PARA ANCIANOS CONCEPCION BEISTEGUI IAP,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,Código postal faltante o inválido,51 a 100 personas,Fijo,CuauhtÃ©moc,CuauhtÃ©moc,CENTRO,6080,0,CALLE,REGINA,7,090150001088A,088A,004,19.42817232,-99.13847769,1,2014-12,2014,2018,2018,11,2018-11,denue_09_1118_shp.zip
334799,6319210,,FUNDACIÃ“N AYUDA A LA ANCIANIDAD,CASA HOGAR NUESTRA SEÃ‘ORA DEL CAMINO,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,Código postal faltante o inválido,51 a 100 personas,Fijo,Ã�lvaro ObregÃ³n,Ã�lvaro ObregÃ³n,SAN Ã�NGEL INN,1060,0,BOULEVARD,ANILLO PERIFÃ‰RICO (ADOLFO LÃ“PEZ MATEOS),198,090100001110A,110A,002,19.34553448,-99.20214014,1,2014-12,2014,2018,2018,11,2018-11,denue_09_1118_shp.zip
336562,6766243,,LA CASA DE LA LUNA,GRUPO FRIGAL SA DE CV,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,Código postal faltante o inválido,6 a 10 personas,Fijo,Ã�lvaro ObregÃ³n,Ã�lvaro ObregÃ³n,SAN Ã�NGEL,,0,AVENIDA,BARRANCA DEL MUERTO,516,0901000010972,0972,008,19.36370685,-99.19327716,1,2016-10,2016,2018,2018,11,2018-11,denue_09_1118_shp.zip
326391,741341,,CASA DEL ADULTO MAYOR DE LA DELEGACIÃ“N AZCAPOTZALCO,GDF,624122,Centros del sector pÃºblico dedicados a la atenciÃ³n y cuidado diurno de ancianos y discapacitados,Salud,Centro de cuidado diurno para personas mayores o con discapacidad,No especificado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,SCIAN mezcla atención a personas mayores y discapacidad,0 a 5 personas,Fijo,Azcapotzalco,Azcapotzalco,TLATILCO,02860,1,AVENIDA,TLATILCO,0,0900200010858,0858,033,19.45944832,-99.16438595,1,2010-07,2010,2018,2018,11,2018-11,denue_09_1118_shp.zip
320313,739148,,CENTRO DE DÃ�A NUEVA SANTA MARÃ�A,INSTITUTO MEXICANO DEL SEGURO SOCIAL,624122,Centros del sector pÃºblico dedicados a la atenciÃ³n y cuidado diurno de ancianos y discapacitados,Salud,Centro de cuidado diurno para personas mayores o con discapacidad,No especificado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,SCIAN mezcla atención a personas mayores y discapacidad,11 a 30 personas,Fijo,Azcapotzalco,Azcapotzalco,NUEVA SANTA MARIA,02800,1,AVENIDA,DE LOS MAESTROS,0,0900200010843,0843,021,19.4613787,-99.16535359,1,2010-07,2010,2018,2018,11,2018-11,denue_09_1118_shp.zip
332449,682033,,GRUPO UNIDAD HABITACIONAL VILLAS AZCAPOTZALCO,GRUPO UNIDAD HABITACIONAL VILLAS AZCAPOTZALCO,624121,Centros del sector privado dedicados a la atenciÃ³n y cuidado diurno de ancianos y discapacitados,Salud,Centro de cuidado diurno para personas mayores o con discapacidad,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,SCIAN mezcla atención a personas mayores y discapacidad,6 a 10 personas,Fijo,Azcapotzalco,Azcapotzalco,SANTO DOMINGO,02160,1,CALLE,CRISTÃ“BAL COLÃ“N,0,090020001028A,028A,005,19.49064645,-99.19365355,1,2014-12,2014,2018,2018,11,2018-11,denue_09_1118_shp.zip
325619,871791,,"ASOCIACIÃ“N MEXICANA PRO-REHABILITACIÃ“N INTEGRAL, I.A.P.","ASOCIACIÃ“N MEXICANA PRO-REHABILITACIÃ“N INTEGRAL, I.A.P.",624121,Centros del sector privado dedicados a la atenciÃ³n y cuidado diurno de ancianos y discapacitados,Salud,Centro de cuidado diurno para personas mayores o con discapacidad,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,REHABILIT,0,0,0,0,0,1,SI,SCIAN mezcla atención a personas mayores y discapacidad,6 a 10 personas,Fijo,Benito JuÃ¡rez,Benito JuÃ¡rez,SAN PEDRO DE LOS PINOS,03800,1,AVENIDA,2,76,0901400010350,0350,007,19.39089487,-99.1840143,1,2010-07,2010,2018,2018,11,2018-11,denue_09_1118_shp.zip
320835,1059719,,CASA DE LA CAMPANA RESIDENCIA DE DOCENTES,COLEGIO SIMÃ“N BOLÃ�VAR AC,624121,Centros del sector privado dedicados a la atenciÃ³n y cuidado diurno de ancianos y discapacitados,Salud,Centro de cuidado diurno para personas mayores o con discapacidad,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,SCIAN mezcla atención a personas mayores y discapacidad | Código postal faltante o inválido,11 a 30 personas,Fijo,Benito JuÃ¡rez,Benito JuÃ¡rez,INSURGENTES MIXCOAC,3920,0,CALLE,CAMPANA,,0901400010793,0793,013,19.37249109,-99.18550601,1,2010-07,2010,2018,2018,11,2018-11,denue_09_1118_shp.zip
323505,902613,,CENTRO DE ATENCIÃ“N NATIVITAS,DELEGACIÃ“N BENITO JUÃ�REZ,624122,Centros del sector pÃºblico dedicados a la atenciÃ³n y cuidado diurno de ancianos y discapacitados,Salud,Centro de cuidado diurno para personas mayores o con discapacidad,No especificado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,SCIAN mezcla atención a personas mayores y discapacidad,0 a 5 personas,Fijo,Benito JuÃ¡rez,Benito JuÃ¡rez,NARVARTE PONIENTE,03020,1,CALLE,PRIVADA JUAN DE OCA,0,0901400010276,0276,017,19.38826316,-99.14755131,1,2014-12,2014,2018,2018,11,2018-11,denue_09_1118_shp.zip
328968,903268,,"CENTRO INTERDISCIPLINARIO DE APOYO TERAPÃ‰UTICO, A.C.","CENTRO INTERDISCIPLINARIO DE APOYO TERAPÃ‰UTICO, A.C.",624121,Centros del sector privado dedicados a la atenciÃ³n y cuidado diurno de ancianos y discapacitados,Salud,Centro de cuidado diurno para personas mayores o con discapacidad,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,TERAP,0,0,0,0,0,1,SI,SCIAN mezcla atención a personas mayores y discapacidad,6 a 10 personas,Fijo,Benito JuÃ¡rez,Benito JuÃ¡rez,NATIVITAS,03500,1,CALLE,LUISA,92,0901400010524,0524,017,19.38160087,-99.1390009,1,2014-12,2014,2018,2018,11,2018-11,denue_09_1118_shp.zip
330369,902257,,FUNDACIÃ“N CENTILIA,,624121,Centros del sector privado dedicados a la atenciÃ³n y cuidado diurno de ancianos y discapacitados,Salud,Centro de cuidado diurno para personas mayores o con discapacidad,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,SCIAN mezcla atención a personas mayores y discapacidad,6 a 10 personas,Fijo,Benito JuÃ¡rez,Benito JuÃ¡rez,DEL VALLE NORTE,03000,1,EJE VIAL,3 PONIENTE (MEDELLÃ�N),381,090140001005A,005A,015,19.40193122,-99.16226018,1,2014-12,2014,2018,2018,11,2018-11,denue_09_1118_shp.zip
330863,982646,,INSTITUTO NACIONAL DE LAS PERSONAS ADULTAS MAYORES,INSTITUTO NACIONAL DE LAS PERSONAS ADULTAS MAYORES INAPAM,624122,Centros del sector pÃºblico dedicados a la atenciÃ³n y cuidado diurno de ancianos y discapacitados,Salud,Centro de cuidado diurno para personas mayores o con discapacidad,No especificado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,SCIAN mezcla atención a personas mayores y discapacidad,11 a 30 personas,Fijo,Benito JuÃ¡rez,Benito JuÃ¡rez,PORTALES SUR,03300,1,CALLE,ALHAMBRA,1113,090140001101A,101A,017,19.35882501,-99.14529177,1,2010-07,2010,2018,2018,11,2018-11,denue_09_1118_shp.zip
327549,906810,,CASA DE LA TERCERA EDAD,,624122,Centros del sector pÃºblico dedicados a la atenciÃ³n y cuidado diurno de ancianos y discapacitados,Salud,Centro de cuidado diurno para personas mayores o con discapacidad,No especificado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,SCIAN mezcla atención a personas mayores y discapacidad,0 a 5 personas,Fijo,CoyoacÃ¡n,CoyoacÃ¡n,AJUSCO HUAYAMILPAS,04390,1,PRIVADA,QUINTO CALLEJÃ“N HUAYAMILPAS,0,0900300010662,0662,048,19.32396373,-99.14815877,1,2014-12,2014,2018,2018,11,2018-11,denue_09_1118_shp.zip
327579,1060496,,CASA DEL ADULTO MAYOR DE COYOACÃ�N,GOBIERNO DEL DISTRITO FEDERAL,624122,Centros del sector pÃºblico dedicados a la atenciÃ³n y cuidado diurno de ancianos y discapacitados,Salud,Centro de cuidado diurno para personas mayores o con discapacidad,No especificado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,SCIAN mezcla atención a personas mayores y discapacidad,6 a 10 personas,Fijo,CoyoacÃ¡n,CoyoacÃ¡n,DEL CARMEN COYOÃ�CAN,04100,1,CALLE,XICOTÃ‰NCATL,0,0900300010037,0037,009,19.3530201,-99.16292061,1,2010-07,2010,2018,2018,11,2018-11,denue_09_1118_shp.zip
326026,978296,,CENTRO COMUNITARIO DE ATENCIÃ“N INTEGRAL AL ADULTO MAYOR Y SU FAMILIA,"CIUDADANOS EDIFICANDO SOLUCIONES, A.C.",624121,Centros del sector privado dedicados a la atenciÃ³n y cuidado diurno de ancianos y discapacitados,Salud,Centro de cuidado diurno para personas mayores o con discapacidad,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,SCIAN mezcla atención a personas mayores y discapacidad,11 a 30 personas,Fijo,CoyoacÃ¡n,CoyoacÃ¡n,CTM CULHUACÃ�N,04490,1,CALLE,CATALINA BUENDÃ�A,0,0900300011336,1336,029,19.32273964,-99.10932728,1,2014-12,2014,2018,2018,11,2018-11,denue_09_1118_shp.zip
329573,909317,,CENTRO DE MEDIO DÃ�A PARA EL ADULTO MAYOR INDEPENDIENTE,,624122,Centros del sector pÃºblico dedicados a la atenciÃ³n y cuidado diurno de ancianos y discapacitados,Salud,Centro de cuidado diurno para personas mayores o con discapacidad,No especificado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,SCIAN mezcla atención a personas mayores y discapacidad,6 a 10 personas,Fijo,CoyoacÃ¡n,CoyoacÃ¡n,AVANTE,04460,1,AVENIDA,DEL PARQUE,0,0900300010728,0728,067,19.32657663,-99.13504854,1,2014-12,2014,2018,2018,11,2018-11,denue_09_1118_shp.zip
322424,993243,,CLÃ�NICA VIDA Y BIENESTAR,CLÃ�NICA VIDA Y BIENESTAR,624121,Centros del sector privado dedicados a la atenciÃ³n y cuidado diurno de ancianos y discapacitados,Salud,Centro de cuidado diurno para personas mayores o con discapacidad,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,SCIAN mezcla atención a personas mayores y discapacidad,11 a 30 personas,Fijo,CoyoacÃ¡n,CoyoacÃ¡n,PRADO CHURUBUSCO,04200,1,CALLE,CERRO DEL CUBILETE,106,0900300010179,0179,009,19.35037465,-99.13362157,1,2014-12,2014,2018,2018,11,2018-11,denue_09_1118_shp.zip
341837,904706,,RESIDENCIA LOS Ã�NGELES,,624121,Centros del sector privado dedicados a la atenciÃ³n y cuidado diurno de ancianos y discapacitados,Salud,Centro de cuidado diurno para personas mayores o con discapacidad,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,SCIAN mezcla atención a personas mayores y discapacidad,31 a 50 personas,Fijo,CoyoacÃ¡n,CoyoacÃ¡n,SANTA CATARINA,04010,1,CERRADA,PEDREGAL,28,0900300010111,0111,001,19.34740983,-99.17581287,1,2014-12,2014,2018,2018,11,2018-11,denue_09_1118_shp.zip
320895,920286,,"CASA YEKKAN, A.C.","CASA YEKKAN, A.C.",624121,Centros del sector privado dedicados a la atenciÃ³n y cuidado diurno de ancianos y discapacitados,Salud,Centro de cuidado diurno para personas mayores o con discapacidad,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,SCIAN mezcla atención a personas mayores y discapacidad,11 a 30 personas,Fijo,Cuajimalpa de Morelos,Cuajimalpa de Morelos,EL MOLINO,05240,1,CERRADA,COMANDANTE JESÃšS ROMERO FLORES,0,0900400010354,0354,022,19.36639954,-99.28198206,1,2014-12,2014,2018,2018,11,2018-11,denue_09_1118_shp.zip
330361,1013864,,"INTEGRACIÃ“N NACIONAL DE JUBILADOS, PENSIONADOS Y ADULTOS MAYORES","INTEGRACIÃ“N NACIONAL DE JUBILADOS, PENSIONADOS Y ADULTOS MAYORES, A.C.",624121,Centros del sector privado dedicados a la atenciÃ³n y cuidado diurno de ancianos y discapacitados,Salud,Centro de cuidado diurno para personas mayores o con discapacidad,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,SCIAN mezcla atención a personas mayores y discapacidad,11 a 30 personas,Fijo,CuauhtÃ©moc,CuauhtÃ©moc,TABACALERA,06030,1,CALLE,JOSÃ‰ MARÃ�A LAFRAGUA,3,0901500010729,0729,004,19.43480635,-99.1534294,1,2010-07,2010,2018,2018,11,2018-11,denue_09_1118_shp.zip
333178,991115,,JUNTOS EN LA ACCIÃ“N POR LA DISCAPACIDAD Y LA EDUCACIÃ“N,JUNTOS EN LA ACCIÃ“N POR LA DISCAPACIDAD Y LA EDUCACIÃ“N,624121,Centros del sector privado dedicados a la atenciÃ³n y cuidado diurno de ancianos y discapacitados,Salud,Centro de cuidado diurno para personas mayores o con discapacidad,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,SCIAN mezcla atención a personas mayores y discapacidad,0 a 5 personas,Fijo,CuauhtÃ©moc,CuauhtÃ©moc,CENTRO,06050,1,EJE VIAL,CENTRAL (LÃ�ZARO CÃ�RDENAS),13,0901500010748,0748,013,19.43298669,-99.14115257,1,2010-07,2010,2018,2018,11,2018-11,denue_09_1118_shp.zip
336328,869376,,LA CASA DE LOS MIL COLORES COMISIÃ“N NACIONAL DE LOS PUEBLOS INDÃ�GENAS,COMISIÃ“N NACIONAL DE LOS PUEBLOS INDGENAS,624122,Centros del sector pÃºblico dedicados a la atenciÃ³n y cuidado diurno de ancianos y discapacitados,Salud,Centro de cuidado diurno para personas mayores o con discapacidad,No especificado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,SCIAN mezcla atención a personas mayores y discapacidad,31 a 50 personas,Fijo,CuauhtÃ©moc,CuauhtÃ©moc,OBRERA,06800,1,CALZADA,SAN ANTONIO ABAD,231,0901500011267,1267,013,19.41041467,-99.13560296,1,2014-12,2014,2018,2018,11,2018-11,denue_09_1118_shp.zip
