Registro origen,ID,CLEE,Establecimiento,Razón social,Código SCIAN,Actividad SCIAN,Categoría del proyecto,Subcategoría,Población objetivo estimada,Sector,Alcance,Dedicación a infancias,Regla de inclusión,Palabras clave detectadas,Es guardería o estancia infantil,Es preescolar,Es primaria,Es secundaria,Es escuela de varios niveles,Es educación especial,Es media superior o técnica,Es formación complementaria,Es club o deporte,Es recreación o cultura infantil,Es apoyo social o residencia,Enfoque primera infancia,Revisión manual,Motivo de revisión,Personal ocupado,Tipo de unidad económica,Alcaldía,Localidad,Asentamiento,Código postal,Código postal válido,Tipo de vialidad,Vialidad,Número exterior,Clave geográfica AGEB,AGEB,Manzana,Latitud,Longitud,Coordenadas válidas,Fecha de alta DENUE,Año de alta DENUE,Versión SCIAN declarada,Año de datos,Mes de corte,Edición DENUE,Archivo fuente
302681,677632,,CENTRO FAMILIAR NUMERO 8 NIÑO JOSÉ LUIS ORDAZ LOPEZ,GOBIERNO DE LA CIUDAD DE MEXICO,624199,Otros servicios de orientación y trabajo social prestados por el sector público,Infancias,Apoyo social o refugio para infancias (por nombre),Probable niñez o adolescencia; verificar,Público,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,NIÑA/O,0,0,0,0,0,0,0,0,0,0,1,0,SI,Inclusión por nombre; confirmar que el servicio atienda a menores de edad,31 a 50 personas,Fijo,Gustavo A. Madero,Gustavo A. Madero,LA MALINCHE,07899,1,CALLE,NORTE 94,,0900500012305,2305,019,19.45075822,-99.10239002,1,2014-12,2014,2018,2019,11,2019-11,denue_09_1119_shp.zip
325564,7715419,,PARTICIPACIÓN INFANTIL,SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA,624199,Otros servicios de orientación y trabajo social prestados por el sector público,Infancias,Apoyo social o refugio para infancias (por nombre),Probable niñez o adolescencia; verificar,Público,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,INFANTIL,0,0,0,0,0,0,0,0,0,0,1,0,SI,Inclusión por nombre; confirmar que el servicio atienda a menores de edad,0 a 5 personas,Fijo,Gustavo A. Madero,Gustavo A. Madero,25 DE JULIO,07520,1,CALLE,EJIDO,,090050001103A,103A,004,19.49559141,-99.0809546,1,2019-11,2019,2018,2019,11,2019-11,denue_09_1119_shp.zip
327145,807852,,DIF CENTRO FAMILIAR NUM 6 IGNACIO M ALTAMIRANO NIÑO TALENTO,SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA NIÑO TALENTO,624199,Otros servicios de orientación y trabajo social prestados por el sector público,Infancias,Apoyo social o refugio para infancias (por nombre),Probable niñez o adolescencia; verificar,Público,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,NIÑA/O,0,0,0,0,0,0,0,0,0,0,1,0,SI,Inclusión por nombre; confirmar que el servicio atienda a menores de edad,6 a 10 personas,Fijo,Iztapalapa,Iztapalapa,SAN PABLO,09648,1,EJE VIAL,8 SUR (CALZADA ERMITA IZTAPALAPA),1325,090070001376A,376A,002,19.35838486,-99.08937393,1,2010-07,2010,2018,2019,11,2019-11,denue_09_1119_shp.zip
301455,6317943,,CASA DE LA AMISTAD NINOS CON CÁNCER IAP,,624198,Otros servicios de orientación y trabajo social prestados por el sector privado,Infancias,Apoyo social o refugio para infancias (por nombre),Probable niñez o adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,NIÑA/O,0,0,0,0,0,0,0,0,0,0,1,0,SI,Inclusión por nombre; confirmar que el servicio atienda a menores de edad,51 a 100 personas,Fijo,Xochimilco,Xochimilco,SAN JUAN TEPEPAN,16020,1,CALLE,IGNACIO ALDAMA,2,0901300010033,0033,004,19.27573528,-99.12989232,1,2010-07,2010,2018,2019,11,2019-11,denue_09_1119_shp.zip
309624,924604,,CENTRO DE INTEGRACIÓN JUVENIL,CENTRO DE INTEGRACION JUVENIL,624199,Otros servicios de orientación y trabajo social prestados por el sector público,Infancias,Apoyo social o refugio para infancias (por nombre),Probable adolescencia; verificar,Público,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,JUVENIL,0,0,0,0,0,0,0,0,0,0,1,0,SI,Inclusión por nombre; confirmar que el servicio atienda a menores de edad,6 a 10 personas,Fijo,Álvaro Obregón,Álvaro Obregón,SANTA MARIA NONOALCO,01420,1,CALLE,ALEJANDRO ALLORI,31,0901000012150,2150,004,19.37974866,-99.19319482,1,2014-12,2014,2018,2019,11,2019-11,denue_09_1119_shp.zip
258997,8392336,,LUDOTECA EPI CENTRO DE DESARROLLO INFANTIL COMUNITARIO,SECRETARIA DE DESARROLLO SOCIAL Y HUMANO,519122,Bibliotecas y archivos del sector público,Infancias,Biblioteca infantil o juvenil (por nombre),Probable primera infancia; verificar,Público,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,DESARROLLO INFANTIL | INFANTIL | LUDOTECA,0,0,0,0,0,0,0,0,0,1,0,1,SI,Inclusión por nombre; confirmar que el servicio atienda a menores de edad,0 a 5 personas,Fijo,Cuajimalpa de Morelos,Cuajimalpa de Morelos,LOMA DE SAN PEDRO,05330,1,CALLE,SAN PEDRO,9,0900400010212,0212,004,19.35450445,-99.28857058,1,2019-11,2019,2018,2019,11,2019-11,denue_09_1119_shp.zip
259671,7261968,,LUDOTECA PALO ALTO,DIF MUNICIPAL CUAJIMALPA,519122,Bibliotecas y archivos del sector público,Infancias,Biblioteca infantil o juvenil (por nombre),Probable niñez o adolescencia; verificar,Público,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,LUDOTECA,0,0,0,0,0,0,0,0,0,1,0,0,SI,Inclusión por nombre; confirmar que el servicio atienda a menores de edad,0 a 5 personas,Fijo,Cuajimalpa de Morelos,Cuajimalpa de Morelos,COOPERATIVA PALO ALTO,05110,1,CALLE,RODOLFO ESCAMILLA,0,0900400010195,0195,036,19.38578664,-99.2502671,1,2019-11,2019,2018,2019,11,2019-11,denue_09_1119_shp.zip
258992,877234,,LUDOTECA,ALCALDIA CUAUHTÉMOC,519122,Bibliotecas y archivos del sector público,Infancias,Biblioteca infantil o juvenil (por nombre),Probable niñez o adolescencia; verificar,Público,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,LUDOTECA,0,0,0,0,0,0,0,0,0,1,0,0,SI,Inclusión por nombre; confirmar que el servicio atienda a menores de edad,0 a 5 personas,Fijo,Cuauhtémoc,Cuauhtémoc,SANTA MARIA LA RIBERA,06400,1,EJE VIAL,1 NORTE (JOSE ANTONIO ALZATE),191,0901500010555,0555,006,19.44803206,-99.16320859,1,2010-07,2010,2018,2019,11,2019-11,denue_09_1119_shp.zip
259000,1059484,,LUDOTECA DE EDUACAION PREESCOLAR JUGARTE,SEP,519122,Bibliotecas y archivos del sector público,Infancias,Biblioteca infantil o juvenil (por nombre),Probable primera infancia; verificar,Público,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,LUDOTECA | PREESCOLAR,0,0,0,0,0,0,0,0,0,1,0,1,SI,Inclusión por nombre; confirmar que el servicio atienda a menores de edad,6 a 10 personas,Fijo,Cuauhtémoc,Cuauhtémoc,NONOALCO TLATELOLCO,06900,1,EJE VIAL,1 PONIENTE (GUERRERO),439,0901500010199,0199,001,19.45509482,-99.15024552,1,2010-07,2010,2018,2019,11,2019-11,denue_09_1119_shp.zip
255205,8327411,,PRÉSTAMO DE LIBROS INFANTILES LITTLE BOOKMATES,LITTLE BOOKMATES SAPI DE CV,519121,Bibliotecas y archivos del sector privado,Infancias,Biblioteca infantil o juvenil (por nombre),Probable niñez o adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,INFANTIL,0,0,0,0,0,0,0,0,0,1,0,0,SI,Inclusión por nombre; confirmar que el servicio atienda a menores de edad,0 a 5 personas,Fijo,Cuauhtémoc,Cuauhtémoc,HIPODROMO,06100,1,CALLE,CAMPECHE,233,0901500011341,1341,009,19.40881487,-99.1687483,1,2019-11,2019,2018,2019,11,2019-11,denue_09_1119_shp.zip
259016,710709,,LUDOTECA,ADMINISTRACIÓN JOYAS DE ORIENTE,519121,Bibliotecas y archivos del sector privado,Infancias,Biblioteca infantil o juvenil (por nombre),Probable niñez o adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,LUDOTECA,0,0,0,0,0,0,0,0,0,1,0,0,SI,Inclusión por nombre; confirmar que el servicio atienda a menores de edad,0 a 5 personas,Fijo,Iztacalco,Iztacalco,AGRICOLA ORIENTAL,08500,1,CALLE,ORIENTE 259,108,0900600010217,0217,003,19.39501904,-99.06107959,1,2014-12,2014,2018,2019,11,2019-11,denue_09_1119_shp.zip
