Registro origen,ID,CLEE,Establecimiento,Razón social,Código SCIAN,Actividad SCIAN,Categoría del proyecto,Subcategoría,Población objetivo estimada,Sector,Alcance,Dedicación a infancias,Regla de inclusión,Palabras clave detectadas,Es guardería o estancia infantil,Es preescolar,Es primaria,Es secundaria,Es escuela de varios niveles,Es educación especial,Es media superior o técnica,Es formación complementaria,Es club o deporte,Es recreación o cultura infantil,Es apoyo social o residencia,Enfoque primera infancia,Revisión manual,Motivo de revisión,Personal ocupado,Tipo de unidad económica,Alcaldía,Localidad,Asentamiento,Código postal,Código postal válido,Tipo de vialidad,Vialidad,Número exterior,Clave geográfica AGEB,AGEB,Manzana,Latitud,Longitud,Coordenadas válidas,Fecha de alta DENUE,Año de alta DENUE,Versión SCIAN declarada,Año de datos,Mes de corte,Edición DENUE,Archivo fuente
303406,10068869,09015624198000302000000000U7,CIENCIA ARTE Y CULTURA ARANGO,FRENTE NACIONAL DE VIVIENDA PARA LAS MADRES SOLTERAS Y NIÑAS DE LA CALLE AC,624198,Otros servicios de orientación y trabajo social prestados por el sector privado,Infancias,Apoyo social o refugio para infancias (por nombre),Probable niñez o adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,NIÑA/O,0,0,0,0,0,0,0,0,0,0,1,0,SI,Inclusión por nombre; confirmar que el servicio atienda a menores de edad,6 a 10 personas,Fijo,Cuauhtémoc,Cuauhtémoc,GUERRERO,06300,1,EJE VIAL,1 NORTE MOSQUETA,106,0901500010574,0574,005,19.44454614,-99.1436315,1,2024-11,2024,2018,2024,11,2024-11,denue_09_1124_shp.zip
329155,9401718,09015624221000082000056540S5,FUNDACION PRO NINOS DE LA CALLE,FUNDACION PRO NINOS DE LA CALLE IAP,624221,Refugios temporales comunitarios del sector privado,Infancias,Apoyo social o refugio para infancias (por nombre),Probable niñez o adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,NIÑA/O,0,0,0,0,0,0,0,0,0,0,1,0,SI,Inclusión por nombre; confirmar que el servicio atienda a menores de edad | Código postal faltante o inválido,6 a 10 personas,Fijo,Cuauhtémoc,Cuauhtémoc,SAN RAFAEL,,0,CALLE,JOAQUÍN VELÁZQUEZ DE LEÓN,39,0901500010678,0678,006,19.4404477,-99.16558765,1,2023-11,2023,2018,2024,11,2024-11,denue_09_1124_shp.zip
304299,677632,09005624199000073001061107S3,CEDIF NIÑO JOSE LUIS ORDAZ LOPEZ,GOBIERNO DE LA CIUDAD DE MEXICO,624199,Otros servicios de orientación y trabajo social prestados por el sector público,Infancias,Apoyo social o refugio para infancias (por nombre),Probable niñez o adolescencia; verificar,Público,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,NIÑA/O,0,0,0,0,0,0,0,0,0,0,1,0,SI,Inclusión por nombre; confirmar que el servicio atienda a menores de edad,11 a 30 personas,Fijo,Gustavo A. Madero,Gustavo A. Madero,MALINCHE,07899,1,CALLE,NORTE 94,,0900500012305,2305,019,19.45075724,-99.10239296,1,2014-12,2014,2018,2024,11,2024-11,denue_09_1124_shp.zip
326726,7153036,09006611112000701000000000U5,SERVICIO DE TALLER DE ESTIMULACION TEMPRANA,CENTRO SOCIAL PARQUE PANTITLAN,624199,Otros servicios de orientación y trabajo social prestados por el sector público,Infancias,Apoyo social o refugio para infancias (por nombre),Probable primera infancia; verificar,Público,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,ESTIMULACIÓN TEMPRANA,0,0,0,0,0,0,0,0,0,0,1,1,SI,Inclusión por nombre; confirmar que el servicio atienda a menores de edad,0 a 5 personas,Fijo,Iztacalco,Iztacalco,AGRICOLA PANTITLAN,08100,1,CALLE,6,353,0900600010039,0039,010,19.41519318,-99.05850935,1,2019-11,2019,2018,2024,11,2024-11,denue_09_1124_shp.zip
315093,807852,09007931610000483011000000U4,DIF CENTRO FAMILIAR NUM 6 IGNACIO M ALTAMIRANO NIÑO TALENTO,SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA NIÑO TALENTO,624199,Otros servicios de orientación y trabajo social prestados por el sector público,Infancias,Apoyo social o refugio para infancias (por nombre),Probable niñez o adolescencia; verificar,Público,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,NIÑA/O,0,0,0,0,0,0,0,0,0,0,1,0,SI,Inclusión por nombre; confirmar que el servicio atienda a menores de edad,6 a 10 personas,Fijo,Iztapalapa,Iztapalapa,SAN PABLO,09000,1,EJE VIAL,8 SUR CALZADA ERMITA IZTAPALAPA,1325,090070001376A,376A,002,19.35842225,-99.08936998,1,2010-07,2010,2018,2024,11,2024-11,denue_09_1124_shp.zip
305511,924604,09010624112000012010000000U4,CENTRO DE INTEGRACION JUVENIL,CENTRO DE INTEGRACION JUVENIL,624199,Otros servicios de orientación y trabajo social prestados por el sector público,Infancias,Apoyo social o refugio para infancias (por nombre),Probable adolescencia; verificar,Público,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,JUVENIL,0,0,0,0,0,0,0,0,0,0,1,0,SI,Inclusión por nombre; confirmar que el servicio atienda a menores de edad,6 a 10 personas,Fijo,Álvaro Obregón,Álvaro Obregón,SANTA MARIA NONOALCO,01420,1,CALLE,ALEJANDRO ALLORI,31,0901000012150,2150,004,19.37974154,-99.1932011,1,2014-12,2014,2018,2024,11,2024-11,denue_09_1124_shp.zip
321310,10976020,09002713941000181000000000U8,CENTRO NACIONAL DE DESARROLLO Y EMPLEO,ASOCIACION RICARDO FLORES MAGON AC,713941,Clubes deportivos del sector privado,Infancias,Club deportivo,Edades mixtas o no especificadas,Privado,Complementario,Mixta por código,Código SCIAN de club o liga deportiva,,0,0,0,0,0,0,0,0,1,0,0,0,SI,"El código no distingue entre público infantil, juvenil y adulto",0 a 5 personas,Fijo,Azcapotzalco,Azcapotzalco,LIBERTAD,02050,1,CALLE,NORTE 87 A,321,0900200010491,0491,001,19.47857549,-99.17891147,1,2024-11,2024,2018,2024,11,2024-11,denue_09_1124_shp.zip
321276,633550,09002531113000471010000000U9,CENTRO SOCIAL CULTURAL Y DEPORTIVO VIDEOGRAFO,CENTRO SOCIAL CULTURAL Y DEPORTIVO VIDEOGRAFO AC,713941,Clubes deportivos del sector privado,Infancias,Club deportivo,Edades mixtas o no especificadas,Privado,Complementario,Mixta por código,Código SCIAN de club o liga deportiva,,0,0,0,0,0,0,0,0,1,0,0,0,SI,"El código no distingue entre público infantil, juvenil y adulto",0 a 5 personas,Fijo,Azcapotzalco,Azcapotzalco,HUNIDQD EL ROSARIO,02100,1,CALLE,HIDROGENO,0,0900200010044,0044,001,19.50917287,-99.20148198,1,2010-07,2010,2018,2024,11,2024-11,denue_09_1124_shp.zip
327536,6306705,09002713992000025001000000U0,CLUB DE CAZA TIRO Y PESCA SAN JORGE,CLUB DE CAZA TIRO Y PESCA SAN JORGE,713942,Clubes deportivos del sector público,Infancias,Club deportivo,Edades mixtas o no especificadas,Público,Complementario,Mixta por código,Código SCIAN de club o liga deportiva,,0,0,0,0,0,0,0,0,1,0,0,0,SI,"El código no distingue entre público infantil, juvenil y adulto",0 a 5 personas,Fijo,Azcapotzalco,Azcapotzalco,BARRIO LOS REYES,02010,1,CALLE,CAPILLA DE LOS REYES,55,0900200010311,0311,015,19.48501531,-99.1835844,1,2010-07,2010,2018,2024,11,2024-11,denue_09_1124_shp.zip
322790,10813242,09002713941000192000000000U5,GRUPO ITZINECAN,ASOCIACION SCOUTS DE MEXICO AC,713941,Clubes deportivos del sector privado,Infancias,Club deportivo,Edades mixtas o no especificadas,Privado,Complementario,Mixta por código,Código SCIAN de club o liga deportiva,,0,0,0,0,0,0,0,0,1,0,0,0,SI,"El código no distingue entre público infantil, juvenil y adulto",6 a 10 personas,Fijo,Azcapotzalco,Azcapotzalco,NUEVA SANTA MARIA,02800,1,CALLE,CLAVEL,81,0900200010843,0843,022,19.4586188,-99.1657398,1,2024-11,2024,2018,2024,11,2024-11,denue_09_1124_shp.zip
